listing_id;id;date;reviewer_id;reviewer_name;comments
15828085;112789124;2016-11-07;89793017;Yann;The host canceled this reservation 54 days before arrival. This is an automated posting.
5647050;28115511;2015-03-18;6443763;Ron;The reservation was canceled 10 days before arrival. This is an automated posting.
5647050;32374947;2015-05-17;13633695;Antje;"Hetty ist eine wunderbare Gastgeberin!
Wir haben uns rundum wohl gefühlt, vielen Dank dafür!"
5647050;64749139;2016-03-07;60599013;Eric;The host canceled this reservation 60 days before arrival. This is an automated posting.
15767097;129052857;2017-01-29;76886352;James;"Awesome host! Quick and easy communication. The apartment is as advertised. Clean and comfortable with easy access to the city. Residential neighborhood but close to some nightlife and tourist sights (museums, etc.). 

Had a great time in Abby's apartment would highly recommend it to anyone visiting Amsterdam and I'll definitely be staying there again when I come back! Thanks, Abby!"
8897613;53556815;2015-11-09;47954716;Aaron;Great location and lovely apartment. Emma's sister met us at the apartment and got my wife and I situated. Would stay again without a seconds hesitation.
3470459;27593073;2015-03-08;24939297;Romain;"We had the greatest week end in Amsterdam thanks to this appartment.
The appartment is beautiful, spacious, very convenient and well situated. Esther, Rick and their friend Nora were very nice and welcoming (bottle of wine as welcome gift) ! We almost did every thing by foot to visit the city, the museums are just next to the flat and the nice places to have a walk and see the canals also. 
During the night we also stoped by some bars in the neigborhood and they were very fun ! 
My conclusion is, you will not be desapointed by this place, on the contrary you will be very pleased ! If I want to live in Amsterdam one day I will look for an appartment as pretty and well situated than Esther and Rick's appartment.
Sorry for my faults I'm french :-)

Romain"
3470459;32049266;2015-05-13;6936924;Karina;"We had a great stay in Esther's home. It was everything that we needed for our young family. The portable cot was perfect and very comfortable for my baby and the high chairs were perfect for a baby and toddler. I was able to hire a bike from a good place 900m away and then ride to the RAI for my conference (under 10 min ride door to door).
Museum square very close and good playgrounds close by within walking distance. 
Supermarket round the corner was great, but just know that it doesn't open until 10am

Hema at the end of the street was a great shock to buy all sorts of basic supplies (equivalent of a target or big W store in Australia)
Courtyard was handy on nice days
Kitchen well equipped and lovely to be able to use staples- thanks!
Of course we left food we had bought too so its a "" pay it forward "" type situation!

We didn't meet Esther but Nora met us which was great. She answered any questions we had. 

We didn't realize that there was a cafe/bar right across the road but people were mainly smoking quietly inside versus drinking so they were never noisy at all. I could never smell smoke either. It was fine and we are quite particular with two young children. 

All in all it was everything we needed in a funky part of Amsterdam!!"
3470459;38258250;2015-07-14;11503921;Armelle;"Esther answered all our questions very quickly. It was very easy to exchange.
Her friend Nora welcomed us very warmly.
The house is very well located and the area is full of shops, bars and restaurants. It is clean, and there is everything you need for children. A very good adress."
3470459;70839973;2016-04-21;29945101;Laszlo;"Thank You for the opportunity to stay in Your home! 
We really enjoyed our stay especially the good location of the ap. and the little backyard.
Everything was OK and the majority of POI was reachable by walk. We can definitely recommend Your apartment for small groups and families.
Greetings from the Transylvanian team!"
3470459;82447720;2016-06-27;27784634;Leon;We stayed in Esther and Rick's house in Amsterdam for a weekend and had an amazing time. Everything is thought of, the house is super spacious and cosy. Very nice kitchen, although we didn't get down to using it :) comfortable beds, large rooms, excellent! Only nuisance are the neighbors on top, whose child woke us up at 6am each morning by stomping and running on the floor. But that's obviously nothing that Esther and Rick can control. All in all a great place.
3470459;116952241;2016-12-04;1029793;Federico;l'appartamento è bello, spazioso, in una bella zona e comodo per girare in centro ad Amsterdam. la cucina è grande e funzionale. C'è stato un solo grande difetto , e forse siamo capitati male, però l'interazione con l'host è stata davvero difficile.  una volta deciso un orario proposto da Esther, Nora, la sua amica che doveva portarci le chiavi non si è mai presentata, in compenso sua madre è arrivata con un'ora di ritardo senza parlare una parola di Inglese/spagnolo/tedesco/francese /italiano.  è davvero la prima volta che mi è capitata una cosa simile con Airbnb, ed è un peccato  perché la casa è davvero carina ma se l'interazione con l'host è complicata il risultato non è dei migliori.
3470459;124507495;2017-01-02;10072221;Kathrine;The house appartment was everything that er hoped for, when we as a group of 6 people visited Amsterdam for the New Years. Vety clean and nice acommadation, a nice kitchen and naturoplevelser and good communication. We would definetly come back another time.
6430582;41468894;2015-08-07;19716954;Veronika;A wonderful apartment in a great location! We loved it!
